	1171
000	1
1	50
10	2
11	1
12	1
13	1
1500	1
1887	1
2	5
20	1
2001	1
2008	1
2023	1
25	1
2nd	1
3	12
30	1
364	1
365	1
3d	1
4	7
4th	3
5	6
50	1
501	1
596	1
5th	3
6	4
60	1
6221541	1
64	1
6th	2
7	6
7th	1
8	6
801	1
809	1
84116	1
8th	3
9	5
90	2
_	5
___	1
____	1
_a	1
_after	1
_all_	2
_alone_	1
_always_	1
_am_	5
_and_	2
_answers	1
_any_	1
_anything_	1
_are_	5
_as	1
_at	1
_back_	1
_becomes	1
_better_	1
_bit_	1
_book_	1
_borogove_	1
_both_	1
_brillig_	1
_broiling_	1
_by	1
_called_	3
_can	3
_can_	9
_cold_	1
_coronation_	1
_could	1
_couldn	1
_course_	1
_day_	1
_did_	7
_dinah_	1
_do_	3
_does_	1
_down_	1
_ever_	2
_everything_	1
_examination_	1
_falling_	1
_feast_	1
_five_	1
_flying	1
_forest_	1
_four_	1
_gimble_	2
_good_	1
_ground_	1
_gyre_	2
_had_	2
_haddocks	1
_hadn	1
_hands_	1
_has_	1
_have_	1
_he_	1
_head_	1
_her_	1
_here	1
_here_	4
_humpty	1
_i	6
_i_	19
_if_	2
_into_	1
_is_	9
_isn	1
_it_	2
_just_	1
_know_	1
_leaves	1
_like_	2
_little_	9
_looked_	1
_lovely_	1
_loves_	1
_me_	4
_mimsy_	1
_mine_	1
_mome	1
_mome_	1
_most	1
_much_	1
_must_	7
_my_	9
_name_	1
_never_	2
_next_	2
_not_	4
_now_	4
_off_	1
_one_	3
_other_	2
_ought_	4
_our_	2
_out_	1
_outgrabe_	1
_outgrabing_	1
_outside_	1
_peep_	1
_picked_	1
_please_	1
_quite_	5
_rath_	1
_rather_	1
_red	1
_rejoice_	1
_says_	1
_see_	1
_seems_	1
_shall_	1
_she_	2
_sheep_	1
_shop	1
_should_	2
_slithy_	2
_snake_	1
_some_	4
_somebody_	1
_something_	2
_song_	2
_soup_	1
_such_	4
_tears_	1
_that_	15
_the	5
_them_	1
_there_	1
_they_	2
_think_	1
_thinking	1
_this_	3
_thought_	1
_three_	1
_to	1
_toves_	2
_trees_	1
_try_	1
_tweedledum	1
_two_	3
_upwards_	1
_very	1
_very_	16
_wabe_	1
_was_	8
_ways	1
_were_	1
_what_	2
_which_	1
_white	1
_white_	1
_why_	2
_will_	3
_wish_	3
_with	1
_would_	6
_wouldn	1
_yet_	1
_you	1
_you_	23
_your_	6
a	825
abide	1
able	6
about	76
above	2
accents	1
accept	1
accepted	2
accepting	1
access	10
accessed	1
accessible	1
accident	1
accordance	2
accounts	1
acres	1
across	8
act	1
active	3
actual	1
actually	2
added	21
addition	4
additional	3
additions	1
address	1
addressed	1
addresses	1
addressing	3
adjectives	1
admire	1
admiring	1
admittance	1
advantage	1
adventures	1
advertisements	1
advice	3
advise	1
affectionate	1
affectionately	1
afraid	15
after	43
afternoon	3
afterwards	13
again	78
against	6
age	4
aged	7
agent	1
aglow	1
ago	2
agree	10
agreed	2
agreement	18
ah	4
ahoy	4
aiming	1
ain	1
air	15
alarm	7
alarmed	1
alice	468
alive	5
all	206
all_	1
allow	1
allowed	1
almost	14
alone	5
along	15
aloud	5
alphabet	1
already	8
also	4
alteration	1
altering	1
alternate	1
altogether	1
always	29
am	10
amazing	1
among	16
amused	2
amusement	2
an	62
and	983
anglo	5
angrily	4
angry	5
animal	1
animals	1
anklets	1
annoyed	1
another	32
answer	22
answered	5
anxiety	2
anxious	6
anxiously	8
any	76
anybody	6
anyhow	2
anyone	5
anything	19
anywhere	2
appear	1
appeared	1
appearing	1
appears	1
applicable	3
apply	1
approach	1
april	1
arch	1
arched	1
archive	13
are	95
aren	2
argue	1
argued	1
arguing	1
argument	7
arise	1
arm	9
armour	3
arms	12
arrange	1
arranged	2
array	1
arrived	1
art	2
as	326
ascii	2
ashamed	2
ashes	5
ask	13
asked	28
asking	5
asleep	4
assistance	2
associated	7
assure	2
astonished	4
astonishment	2
asunder	1
at	242
ate	3
attached	1
attend	1
attended	1
attention	2
attentively	1
attitude	1
attitudes	3
author	1
autumn	3
available	2
away	40
awe	1
awhile	1
awkward	3
b	8
baby	2
back	32
backwards	4
bad	3
badgers	1
badly	1
badly_	1
bag	7
balance	2
balances	1
balancing	1
bale	1
ball	6
ballad	1
bandersnatch	3
bang	2
banging	1
bank	2
banks	2
bar	2
bargain	1
bargains	1
barrel	1
based	2
batter	1
battle	7
be	175
beach	1
beak	1
beamish	1
beard	2
bearing	1
beast	1
beat	3
beating	1
beauties	1
beautiful	7
beautifully	1
beauty	1
because	31
beckoned	1
beckoning	1
become	1
becomes	1
bed	5
beds	3
bedtime	1
bee	5
been	46
bees	5
beetle	2
before	36
beg	5
began	48
begin	18
beginning	17
begins	1
begun	5
behind	11
being	22
believe	13
believed	1
bell	5
bellowing	1
belong	2
belonging	1
belongs	2
below	3
belt	3
bending	1
beneath	1
bent	1
beseech	1
besides	4
best	17
better	30
between	4
beware	2
bewildered	1
bewilderment	1
beyond	4
billows	1
binary	1
bird	3
birds	4
birthday	6
birthdays	1
biscuit	2
bit	10
bite	2
bites	1
bitter	2
black	5
blade	2
blankets	1
blast	1
blaze	2
blazing	1
bleat	1
bleeding	2
blew	3
blinding	1
blinking	1
blotting	1
blowing	1
blown	3
blows	2
blue	3
boat	11
body	4
boiling	2
bolster	1
bolsters	1
bone	3
bones	1
bonfire	2
book	11
books	3
boots	1
border	1
borogoves	3
both	19
bottle	2
bottles	1
bough	1
boughs	1
bought	4
bound	4
bounded	1
bounding	1
bow	3
box	7
boy	3
boys	1
bran	1
branch	4
branches	3
brandishing	1
brandy	1
brass	1
brave	1
breach	2
bread	15
breakfast	2
breaking	3
breath	17
breathe	1
breathless	1
bridge	3
bridle	1
bright	8
brightened	1
brightly	1
brillig	3
bring	4
brings	1
briny	1
briskly	1
broad	1
broke	3
broken	2
brooch	4
brook	12
brooks	2
brother	4
brothers	4
brought	4
brow	1
brown	7
brush	3
brushed	2
bud	1
buffalo	1
bunch	2
bunches	2
bundled	1
bundles	1
burbled	1
burning	1
bush	1
bush_	1
bushes	1
bushy	1
busily	1
business	4
bustled	1
bustling	1
but	208
butter	8
buttered	2
butterflies	1
butterfly	2
buttons	3
buy	5
by	87
bye	5
c	5
cabbages	1
cabs	1
cake	11
cakes	1
calculate	1
calculated	1
calculation	1
call	15
callay	1
called	12
calling	1
callooh	1
calmer	2
came	49
can	105
candle	1
candles	3
candlesticks	1
cannot	6
cap	1
card	1
care	8
careful	1
carefully	5
careless	3
carelessly	2
carpenter	12
carpenter_	1
carriage	4
carried	2
carroll	2
carrots	1
carry	4
carrying	1
carve	1
carving	1
case	3
castle	1
castles	2
cat	2
catch	4
catching	4
cats	1
caught	10
cause	5
cautiously	2
cease	1
ceiling	3
certain	9
certainly	12
ch	1
chair	7
chairs	2
chance	3
change	3
changed	3
chapter	24
characters	1
charge	6
charges	1
charitable	1
charities	1
chat	1
chattering	1
cheaper	1
check	8
checked	1
checking	1
checks	1
cheek	2
cheeks	3
cheer	1
cheerfully	3
cheering	1
cheese	1
chess	2
chessboard	2
chessmen	3
chicken	2
chiefly	2
child	17
childhood	1
children	4
chilly	1
chime	1
chimney	2
chimneys	1
chin	3
choice	1
choked	1
choking	2
choose	5
chooses	1
choosing	2
chortled	1
chorus	6
chorus_	1
chosen	2
christmas	1
cider	1
cinders	3
circumstances	1
city	1
civil	4
civilly	1
claim	1
clap	1
clapping	2
clasp	1
clasped	2
clasping	2
claws	1
clean	1
clear	4
cleared	1
clearly	3
clever	4
cleverest	1
clock	4
close	12
closer	1
cloth	1
clothes	2
cloths	1
cloud	4
club	1
clubs	1
clutched	1
coal	1
coats	1
codes	1
coffee	1
coin	1
cold	5
collar	3
collar_	1
collection	4
colour	2
comb	1
come	51
comes	6
comfort	6
comfortable	1
comfortably	3
comforted	1
coming	11
commencement	1
commercial	1
commits	1
committed	1
common	1
companion	1
compared	2
comparison	1
compilation	1
complain	2
complaining	1
completed	1
completely	1
compliance	5
compliment	2
comply	6
complying	3
compressed	1
computer	2
computers	2
concept	2
concerning	2
confess	3
confirmation	1
confirmed	1
confused	1
confusing	1
confusion	2
conjuring	2
conquered	1
consequence	2
consequences	1
consequential	1
consider	6
considerable	2
considered	3
considering	2
constant	1
contact	4
contain	2
containing	1
contempt	1
contemptuously	2
content	2
contented	1
contents	1
continued	3
contract	1
contradicting	1
contrariwise	5
contributions	2
convenient	1
conveniently	1
conversation	9
convert	1
cooing	1
cook	1
cooked	3
cool	1
copied	2
copies	7
copper	1
copy	12
copying	4
copyright	20
corkscrew	3
corkscrews	1
corner	3
corners	1
corporation	1
correct	1
corrected	3
corrupt	1
cost	3
costs	2
cottages	1
cough	1
could	71
couldn	36
count	2
counter	3
counting	2
countries	1
country	11
couple	1
courage	1
course	36
courses	1
cover	2
covered	3
covers	2
crab	4
crabs	4
crash	1
crashing	1
cravat	3
crawled	1
crawling	1
cream	1
created	2
creating	4
creation	1
creature	8
creatures	5
credit	1
credits	1
creep	1
cried	56
crime	2
crimson	1
critical	1
criticised	1
crooked	2
cropping	1
cross	1
crossed	5
crow	6
crowd	1
crowded	1
crowds	1
crown	9
crumpled	1
crust	1
cry	8
crying	3
cup	1
curiosity	5
curious	8
curiously	1
curled	2
curling	1
current	1
curtsey	3
curtseyed	2
cut	10
cutting	1
d	48
d_	1
dahlia	1
daisies	4
daisy	6
damage	2
damaged	1
damages	4
damp	1
dance	2
dancers	1
dancing	4
danger	2
dare	3
daresay	4
dark	9
darker	2
darling	2
darlings	1
darted	1
dash	1
data	1
date	3
daughter	1
david	1
day	25
day_	1
days	11
dazzled	1
de	3
dead	4
deaf	2
deafened	1
deal	9
dear	25
decanters	1
decidedly	3
decision	1
declare	4
deductible	1
dee	5
deed	1
deep	6
deepest	1
deeply	3
defect	3
defective	3
defects	1
deletions	1
delight	6
demand	1
demurely	1
deny	6
denying	1
depends	1
derivative	3
derive	1
derived	1
described	3
deserved	1
design	1
despair	2
desperate	1
despite	1
destroy	2
detach	1
determine	1
determined	3
devoured	1
dial	1
dials	1
dictionary	1
did	47
didn	37
die	4
difference	2
different	7
difficult	2
difficulty	4
dig	1
dignified	1
diligently	1
dinah	9
dine	1
dinner	8
dinners	1
dipping	1
direct	1
direction	4
directions	4
directly	6
disappeared	1
disbelieve	1
disclaim	1
disclaimer	3
disclaimers	1
discontented	2
discontinue	1
discouraged	1
discover	1
discovered	1
disgrace	1
disgust	1
dish	15
dishcover	1
dishes	2
disk	1
dismal	1
dismay	2
display	1
displayed	1
displaying	4
disrespectful	1
distance	3
distinct	1
distinguish	1
distracted	1
distribute	6
distributed	4
distributing	7
distribution	6
distributor	1
ditch	2
ditto	3
divide	1
divided	3
divides	1
division	1
dna	3
do	136
does	14
doesn	11
dog	5
dogs	1
doing	6
doll	2
domain	2
don	80
donate	5
donation	1
donations	15
done	17
donors	1
door	17
doors	1
doorway	1
dotted	1
double	1
doubt	3
doubtful	1
doubtfully	4
dough	1
down	74
downloading	1
downwards	2
dragged	2
dragon	3
dramatis	1
drank	3
draw	3
drawing	2
drawl	1
dread	1
dreadful	3
dreadfully	2
dream	15
dreamed	3
dreamily	2
dreaming	8
dress	3
dressed	5
dressing	2
drew	5
drift	1
drifting	1
drink	5
drinking	1
dripping	1
driver	1
drives	1
drop	2
dropped	1
dropping	1
drowned	1
drum	1
drummed	1
drums	2
dry	4
dull	1
dum	2
dumpty	55
dumpty_	1
during	1
dust	3
dusted	1
dusty	1
dwindled	1
dye	1
e	28
each	22
eager	5
eagerly	9
ear	15
earlier	1
ears	4
earthquake	2
easier	2
easiest	1
easily	6
easy	9
eat	3
eaten	1
eating	3
ebargtuo	1
ebaw	1
ebook	13
ebooks	7
echoed	1
echoes	2
edge	4
edges	1
edition	2
editions	4
educational	1
eel	1
effect	1
effort	4
efforts	3
egg	9
eggs	1
ehh	1
eht	4
eight	2
eighth	5
eighty	1
ein	1
either	6
elbmig	1
elbow	2
elbows	1
eldest	2
elect	1
electronic	27
electronically	2
elephant	1
elephants	2
eleven	1
else	12
em	5
email	2
embroidered	1
emom	1
emphasis	1
employee	1
employees	1
empty	3
encourage	1
encouraged	1
end	17
ended	4
ends	3
enemy	2
engine	5
engines	1
england	2
english	4
enjoyed	2
enormous	4
enough	18
enquired	1
ensuring	1
entangled	1
entirely	3
entity	3
envious	1
equipment	3
er	1
ere	1
erew	1
errors	1
eryg	1
es	1
especially	1
etiquette	1
etter	3
even	18
evening	2
ever	20
every	19
everybody	6
everything	7
everywhere	1
evidently	5
exact	2
exactly	13
exactually	1
examination	2
except	5
excited	2
excitement	3
exclaimed	8
exclusion	1
excuse	3
excuses	2
excusing	1
exempt	2
exhausted	1
exists	1
expect	3
expected	2
expecting	1
expend	1
expense	1
expenses	2
experiment	1
explain	1
explained	6
explaining	2
explanation	3
exporting	1
express	1
extent	1
extinguishers	1
extra	1
extraordinary	2
extremely	2
eye	5
eyes	40
eyes_	1
f	11
fabulous	3
face	20
faced	1
faces	5
facility	1
fact	7
fade	3
fail	1
failed	1
faint	4
fainted	1
fair	2
fairy	3
fall	11
fallen	1
falling	5
falls	1
faltered	1
fan	2
fancied	1
fancy	1
fanned	1
fanning	1
fans	1
far	14
farther	1
farthing	1
fast	17
fasten	1
fastened	3
fastening	1
faster	10
fastness	3
fat	3
fatter	2
fault	5
faults	3
favour	1
favourite	2
fawn	7
fear	7
feared	2
fearful	1
fearfully	2
feast	4
feasting	1
feather	6
feathers	1
fed	1
federal	2
fee	8
feebly	1
feed	2
feel	6
feeling	5
feelings	3
fees	4
feet	20
fell	12
fellow	1
felt	17
fender	2
fetch	3
feverish	1
few	8
fiddle	4
fiddles	1
fiddlestick	1
field	2
fields	2
fiercely	1
fifth	3
fifty	2
fight	10
fighting	4
figure	1
file	1
files	1
fill	5
filled	1
financial	1
find	21
finding	2
fine	2
finger	12
fingers	5
finished	6
fire	10
firelight	1
fireplace	2
fireworks	1
first	33
fish	8
fishes	9
fit	5
fitness	1
fitted	2
five	11
fivepence	1
fix	1
fixed	2
fixes	1
flame	1
flap	1
flat	3
fleet	1
flew	2
flies	1
flimsy	1
floated	2
floating	1
floor	3
flour	1
flow	1
flower	4
flowers	9
flown	1
flung	1
flushed	1
fluttering	1
fly	6
flying	5
foe	1
fold	2
folded	1
folk	1
follow	3
followed	2
following	4
fond	3
foolish	3
foot	3
footstep	1
for	226
forest	5
forget	3
forgetting	3
forgot	3
fork	1
forks	1
form	4
format	4
formats	1
forth	8
forty	1
forwards	3
found	22
foundation	25
four	11
fourteen	1
fourth	3
frabjous	1
free	7
freely	4
french	3
fresh	2
fret	1
fretful	1
friend	3
friendly	1
friends	1
fright	1
frightened	15
frightening	1
fro	1
frog	7
from	81
front	5
frost	1
frosts	1
frothy	1
frown	1
frowning	2
fruit	1
frumenty	1
frumious	1
fulcrum	1
full	26
fun	6
funny	1
further	9
fury	2
fuss	1
future	3
gaily	1
galloped	1
galloping	1
galumphing	1
game	7
garden	10
gardens	3
gasp	1
gasped	2
gate	4
